t,feat_mean_5m,feat_min_5m,feat_std_5m,feat_slope_5m,label_next_30min
3147.0,99.49,99.0,0.5007352453672155,-0.0033333333333333335,0
3148.0,99.48666666666666,99.0,0.5006573159845373,-0.0033333333333333335,0
3149.0,99.48333333333333,99.0,0.5005571032366641,-0.0033333333333333335,0
3150.0,99.48,99.0,0.5004345937367684,-0.0033333333333333335,0
3151.0,99.47666666666667,99.0,0.5002897711049593,-0.0033333333333333335,0
3152.0,99.47333333333333,99.0,0.5001226159573122,-0.0033333333333333335,0
3153.0,99.47,99.0,0.49993310589286055,-0.0033333333333333335,0
3154.0,99.46666666666667,99.0,0.49972121547853393,-0.0033333333333333335,0
3155.0,99.46333333333334,99.0,0.499486916232016,-0.0033333333333333335,0
3156.0,99.46,99.0,0.4992301766024955,-0.0033333333333333335,0
3157.0,99.45666666666666,99.0,0.4989509619492813,-0.0033333333333333335,0
3158.0,99.45333333333333,99.0,0.49864923451824505,-0.0033333333333333335,0
3159.0,99.45,99.0,0.49832495341605626,-0.0033333333333333335,0
3160.0,99.44666666666667,99.0,0.4979780745821666,-0.0033333333333333335,0
3161.0,99.44333333333333,99.0,0.49760855075849875,-0.0033333333333333335,0
3162.0,99.44,99.0,0.49721633145679084,-0.0033333333333333335,0
3163.0,99.43666666666667,99.0,0.49680136292354254,-0.0033333333333333335,0
3164.0,99.43333333333334,99.0,0.49636358810250564,-0.0033333333333333335,0
3165.0,99.43,99.0,0.49590294659465645,-0.0033333333333333335,0
3166.0,99.42666666666666,99.0,0.4954193746155835,-0.0033333333333333335,0
3167.0,99.42333333333333,99.0,0.49491280495021883,-0.0033333333333333335,0
3168.0,99.42,99.0,0.49438316690483625,-0.0033333333333333335,0
3169.0,99.41666666666667,99.0,0.4938303862562341,-0.0033333333333333335,0
3170.0,99.41333333333333,99.0,0.4932543851980151,-0.0033333333333333335,0
3171.0,99.41,99.0,0.49265508228387,-0.0033333333333333335,0
3172.0,99.40666666666667,99.0,0.49203239236776475,-0.0033333333333333335,0
3173.0,99.40333333333334,99.0,0.4913862265409253,-0.0033333333333333335,0
3174.0,99.4,99.0,0.4907164920655076,-0.0033333333333333335,0
3175.0,99.39666666666666,99.0,0.49002309230483165,-0.0033333333333333335,0
3176.0,99.39333333333333,99.0,0.489305926650052,-0.0033333333333333335,0
